question,answer,text
What was the name of the pub in Only Fools and Horses?,THE NAGS HEAD,What was the name of the pub in Only Fools and Horses? THE NAGS HEAD
Who is the mortal enemy of Captain Pugwash?,CUT-THROAT JAKE,Who is the mortal enemy of Captain Pugwash? CUT-THROAT JAKE
What is the nationality of singer Rihanna?,BARBADIAN,What is the nationality of singer Rihanna? BARBADIAN
"In the Old testament which book follows Genesis, Exodus, Leviticus and Numbers?",DEUTERONOMY,"In the Old testament which book follows Genesis, Exodus, Leviticus and Numbers? DEUTERONOMY"
What is the highest pitched woodwind instrument in an orchestra,Piccolo,What is the highest pitched woodwind instrument in an orchestra Piccolo
What is the name of the main French stock market index?,CAC,What is the name of the main French stock market index? CAC
"Whose paintings included Woman with a Hat, The Open Window, and Bathers with a Turtle?",Henri Matisse,"Whose paintings included Woman with a Hat, The Open Window, and Bathers with a Turtle? Henri Matisse"
In which city are the headquarters of the Fiat car company?,TURIN,In which city are the headquarters of the Fiat car company? TURIN
The ‘two-minute hate’ is featured in which novel of the twentieth century?,1984,The ‘two-minute hate’ is featured in which novel of the twentieth century? 1984
Which British heavyweight boxing champion died on 1st. May 2011 at the age of 76?,HENRY COOPER,Which British heavyweight boxing champion died on 1st. May 2011 at the age of 76? HENRY COOPER
In the TV sitcom 'Frasier' what is the forename of Frasier's producer played by Peri Gilpin?,Roz,In the TV sitcom 'Frasier' what is the forename of Frasier's producer played by Peri Gilpin? Roz
"With a population of a little over 110,000, what is the capital city and largest city of South Carolina?",Columbia,"With a population of a little over 110,000, what is the capital city and largest city of South Carolina? Columbia"
"August 12, 1925 saw the birth of twins Ross and Norris McWhirter, who created what book, which people will go to extreme lengths to get into?",Guinness Book of World Records,"August 12, 1925 saw the birth of twins Ross and Norris McWhirter, who created what book, which people will go to extreme lengths to get into? Guinness Book of World Records"
Lahar is an Indonesian term that describes a hot or cold mixture of water and rock fragments flowing from what?,A volcano,Lahar is an Indonesian term that describes a hot or cold mixture of water and rock fragments flowing from what? A volcano
Rivella is a soft drink which originated in which European country?,Switzerland,Rivella is a soft drink which originated in which European country? Switzerland
Which confectionery items are named after Forrest Mars and Bruce Murrie?,M&M’s,Which confectionery items are named after Forrest Mars and Bruce Murrie? M&M’s
'Banyana Banyana' which translates as 'Girls Girls' is the nickname of which nation's women's football team?,SOUTH AFRICA,'Banyana Banyana' which translates as 'Girls Girls' is the nickname of which nation's women's football team? SOUTH AFRICA
"Who in 2012 made the first submarine solo dive to the bottom of the Mariana Trench, the lowest point of the oceans (subsequently to release a 3D film of the dive)?",James Cameron,"Who in 2012 made the first submarine solo dive to the bottom of the Mariana Trench, the lowest point of the oceans (subsequently to release a 3D film of the dive)? James Cameron"
All Hallows’ Eve is celebrated on the last day of which month?,October,All Hallows’ Eve is celebrated on the last day of which month? October
"Named for the day of its discovery by Captain William Mynors, Christmas Island, a land mass in the Indian Ocean, is a territory of what nation?",Australia,"Named for the day of its discovery by Captain William Mynors, Christmas Island, a land mass in the Indian Ocean, is a territory of what nation? Australia"
"In which country is the Tower of Hercules, the oldest roman lighthouse still in use today?",Spain,"In which country is the Tower of Hercules, the oldest roman lighthouse still in use today? Spain"
Who plays Sergeant Hathaway in the television series Lewis?,Lawrence Fox,Who plays Sergeant Hathaway in the television series Lewis? Lawrence Fox
"Which sea creature has been adopted as the symbol of the Parramatta Rugby League Club in Sydney, Australia?",Eel,"Which sea creature has been adopted as the symbol of the Parramatta Rugby League Club in Sydney, Australia? Eel"
Which religion is based on the teachings of Siddartha Gautama?,Buddhism,Which religion is based on the teachings of Siddartha Gautama? Buddhism
"In 1960, which actress received the first star on the Hollywood Walk of Fame in Los Angeles?",Joanne Woodward,"In 1960, which actress received the first star on the Hollywood Walk of Fame in Los Angeles? Joanne Woodward"
"Which Football League club moved into its new home in 2007 at the New Meadow, now known as the Greenhous Meadow for sponsorship purposes?",Shrewsbury Town,"Which Football League club moved into its new home in 2007 at the New Meadow, now known as the Greenhous Meadow for sponsorship purposes? Shrewsbury Town"
What did Pablo Escobar get rich from selling?,Cocaine,What did Pablo Escobar get rich from selling? Cocaine
"""What did Ellen MacArthur achieve with """"B&Q;/Castorama"""" on 7 February 2005?""",Broke the world record for the fastest solo circumnavigation of the globe,"""What did Ellen MacArthur achieve with """"B&Q;/Castorama"""" on 7 February 2005?"" Broke the world record for the fastest solo circumnavigation of the globe"
For how long does Rip Van Winkle sleep in Washington Irving's story ?,20 YEARS,For how long does Rip Van Winkle sleep in Washington Irving's story ? 20 YEARS
Which 1903 book by Erskine Childers that is still enjoyed for its accurate portrayal of inland sailing was credited by Winston Churchill as a major reason for the establishment of naval bases in the UK?,The Riddle of the Sands,Which 1903 book by Erskine Childers that is still enjoyed for its accurate portrayal of inland sailing was credited by Winston Churchill as a major reason for the establishment of naval bases in the UK? The Riddle of the Sands
Who was the respectable Victorian gentleman who became known as the 'King of Saucy Postcards'?,Donald McGill,Who was the respectable Victorian gentleman who became known as the 'King of Saucy Postcards'? Donald McGill
David Moyes played in what position during his football career?,Centre Half,David Moyes played in what position during his football career? Centre Half
What is the first name of the diplomat after whom Downing Street is named?,(Sir) George,What is the first name of the diplomat after whom Downing Street is named? (Sir) George
"In the world of pari-mutuel betting, what is it called when the bettor must pick the 3 horses that finish first, second, and third in the exact order?",Trifecta,"In the world of pari-mutuel betting, what is it called when the bettor must pick the 3 horses that finish first, second, and third in the exact order? Trifecta"
Frederick Gibberd won the competition to design which Liverpool building?,Metropolitan Cathedral of Christ the King,Frederick Gibberd won the competition to design which Liverpool building? Metropolitan Cathedral of Christ the King
Which nation invented the Molotov Cocktail,Finland,Which nation invented the Molotov Cocktail Finland
"Where do the rivers Dart, Tavy, Teigh and Okement rise?",Dartmoor,"Where do the rivers Dart, Tavy, Teigh and Okement rise? Dartmoor"
Anserine relates to which creature?,Goose,Anserine relates to which creature? Goose
Who invented the aqualung diving apparatus?,JACQUES COUSTEAU,Who invented the aqualung diving apparatus? JACQUES COUSTEAU
On which island is Ronaldsway Airport?,Isle of Man,On which island is Ronaldsway Airport? Isle of Man
"If you are suffering from myalgia, what part/parts of your body is/are affected?",MUSCLES,"If you are suffering from myalgia, what part/parts of your body is/are affected? MUSCLES"
Which analgesic occurs naturally in the bark of the cinchona tree?,Quinine,Which analgesic occurs naturally in the bark of the cinchona tree? Quinine
What is the equivalent Royal Air Force rank to an Army Major?,SQUADRON LEADER,What is the equivalent Royal Air Force rank to an Army Major? SQUADRON LEADER
In which musical would you hear the song Bless your beautiful hide?,Seven Brides for Seven Brothers,In which musical would you hear the song Bless your beautiful hide? Seven Brides for Seven Brothers
Stranraer in Scotland stands at the head of which loch?,Loch Ryan,Stranraer in Scotland stands at the head of which loch? Loch Ryan
The Stamp Act of the 18th. Century imposed taxes on which area under British rule?,Americas,The Stamp Act of the 18th. Century imposed taxes on which area under British rule? Americas
"Which TV show has been presented by Bob Monkhouse, Max Bygraves and Les Dennis?",FAMILY FORTUNES,"Which TV show has been presented by Bob Monkhouse, Max Bygraves and Les Dennis? FAMILY FORTUNES"
Albany and Camp Hill are two of the three prisons outside Newport on the Isle of Wight. What is the third?,Parkhurst,Albany and Camp Hill are two of the three prisons outside Newport on the Isle of Wight. What is the third? Parkhurst
Sufferers of cynanthropy think they are a what?,Dog,Sufferers of cynanthropy think they are a what? Dog
Exophthalmic Goitre is the medical term for which disease?,Graves Disease,Exophthalmic Goitre is the medical term for which disease? Graves Disease
